"NUTS_ID","date","var","values"
"LT027","2020-03-10","confirmed",0
"LT027","2020-03-11","confirmed",0
"LT027","2020-03-12","confirmed",0
"LT027","2020-03-13","confirmed",0
"LT027","2020-03-14","confirmed",0
"LT027","2020-03-15","confirmed",0
"LT027","2020-03-16","confirmed",0
"LT027","2020-03-17","confirmed",0
"LT027","2020-03-18","confirmed",0
"LT027","2020-03-19","confirmed",0
"LT027","2020-03-20","confirmed",0
"LT027","2020-03-21","confirmed",0
"LT027","2020-03-22","confirmed",2
"LT027","2020-03-23","confirmed",0
"LT027","2020-03-24","confirmed",0
"LT027","2020-03-25","confirmed",0
"LT027","2020-03-26","confirmed",1
"LT027","2020-03-27","confirmed",0
"LT027","2020-03-28","confirmed",0
"LT027","2020-03-29","confirmed",0
"LT027","2020-03-30","confirmed",0
"LT027","2020-03-31","confirmed",0
"LT027","2020-04-01","confirmed",0
"LT027","2020-04-02","confirmed",0
"LT027","2020-04-03","confirmed",0
"LT027","2020-04-04","confirmed",0
"LT027","2020-04-05","confirmed",0
"LT027","2020-04-06","confirmed",1
"LT027","2020-04-07","confirmed",0
"LT027","2020-04-08","confirmed",0
"LT028","2020-02-24","confirmed",0
"LT028","2020-02-25","confirmed",0
"LT028","2020-02-26","confirmed",0
"LT028","2020-02-27","confirmed",0
"LT028","2020-02-28","confirmed",0
"LT028","2020-02-29","confirmed",0
"LT028","2020-03-01","confirmed",0
"LT028","2020-03-02","confirmed",0
"LT028","2020-03-03","confirmed",0
"LT028","2020-03-04","confirmed",0
"LT028","2020-03-05","confirmed",0
"LT028","2020-03-06","confirmed",0
"LT028","2020-03-07","confirmed",0
"LT028","2020-03-08","confirmed",0
"LT028","2020-03-09","confirmed",0
"LT028","2020-03-10","confirmed",0
"LT028","2020-03-11","confirmed",0
"LT028","2020-03-12","confirmed",0
"LT028","2020-03-13","confirmed",0
"LT028","2020-03-14","confirmed",0
"LT028","2020-03-15","confirmed",1
"LT028","2020-03-16","confirmed",1
"LT028","2020-03-17","confirmed",0
"LT028","2020-03-18","confirmed",0
"LT028","2020-03-19","confirmed",0
"LT028","2020-03-20","confirmed",0
"LT028","2020-03-21","confirmed",0
"LT028","2020-03-22","confirmed",0
"LT028","2020-03-23","confirmed",0
"LT028","2020-03-24","confirmed",0
"LT028","2020-03-25","confirmed",0
"LT028","2020-03-26","confirmed",0
"LT028","2020-03-27","confirmed",0
"LT028","2020-03-28","confirmed",3
"LT028","2020-03-29","confirmed",0
"LT028","2020-03-30","confirmed",0
"LT028","2020-03-31","confirmed",0
"LT028","2020-04-01","confirmed",0
"LT028","2020-04-02","confirmed",0
"LT028","2020-04-03","confirmed",0
"LT028","2020-04-04","confirmed",0
"LT028","2020-04-05","confirmed",0
"LT028","2020-04-06","confirmed",1
"LT028","2020-04-07","confirmed",0
"LT028","2020-04-08","confirmed",0
"LT029","2020-02-24","confirmed",0
"LT029","2020-02-25","confirmed",0
"LT029","2020-02-26","confirmed",0
"LT029","2020-02-27","confirmed",0
"LT029","2020-02-28","confirmed",0
"LT029","2020-02-29","confirmed",0
"LT029","2020-03-01","confirmed",0
"LT029","2020-03-02","confirmed",0
"LT029","2020-03-03","confirmed",0
"LT029","2020-03-04","confirmed",0
"LT029","2020-03-05","confirmed",0
"LT029","2020-03-06","confirmed",0
"LT029","2020-03-07","confirmed",0
"LT029","2020-03-08","confirmed",0
"LT029","2020-03-09","confirmed",0
"LT029","2020-03-10","confirmed",0
"LT029","2020-03-11","confirmed",0
"LT029","2020-03-12","confirmed",0
"LT029","2020-03-13","confirmed",0
"LT029","2020-03-14","confirmed",0
"LT029","2020-03-15","confirmed",0
"LT029","2020-03-16","confirmed",0
"LT029","2020-03-17","confirmed",0
"LT029","2020-03-18","confirmed",0
"LT029","2020-03-19","confirmed",0
"LT029","2020-03-20","confirmed",2
"LT029","2020-03-21","confirmed",0
"LT029","2020-03-22","confirmed",0
"LT029","2020-03-23","confirmed",0
"LT029","2020-03-24","confirmed",0
"LT029","2020-03-25","confirmed",0
"LT029","2020-03-26","confirmed",0
"LT029","2020-03-27","confirmed",0
"LT029","2020-03-28","confirmed",0
"LT029","2020-03-29","confirmed",0
"LT029","2020-03-30","confirmed",0
"LT029","2020-03-31","confirmed",0
"LT029","2020-04-01","confirmed",0
"LT029","2020-04-02","confirmed",0
"LT029","2020-04-03","confirmed",0
"LT029","2020-04-04","confirmed",0
"LT029","2020-04-05","confirmed",0
"LT029","2020-04-06","confirmed",1
"LT029","2020-04-07","confirmed",0
"LT029","2020-04-08","confirmed",0
"LT030","2020-02-24","confirmed",0
"LT030","2020-02-25","confirmed",0
"LT030","2020-02-26","confirmed",0
"LT030","2020-02-27","confirmed",0
"LT030","2020-02-28","confirmed",0
"LT030","2020-02-29","confirmed",0
"LT030","2020-03-01","confirmed",0
"LT030","2020-03-02","confirmed",0
"LT030","2020-03-03","confirmed",0
"LT030","2020-03-04","confirmed",0
"LT030","2020-03-05","confirmed",0
"LT030","2020-03-06","confirmed",0
"LT030","2020-03-07","confirmed",0
"LT030","2020-03-08","confirmed",0
"LT030","2020-03-09","confirmed",0
"LT030","2020-03-10","confirmed",0
"LT030","2020-03-11","confirmed",0
"LT030","2020-03-12","confirmed",0
"LT030","2020-03-13","confirmed",0
"LT030","2020-03-14","confirmed",0
"LT030","2020-03-15","confirmed",0
"LT030","2020-03-16","confirmed",0
"LT030","2020-03-17","confirmed",0
"LT030","2020-03-18","confirmed",0
"LT030","2020-03-19","confirmed",0
"LT030","2020-03-20","confirmed",0
"LT030","2020-03-21","confirmed",0
"LT030","2020-03-22","confirmed",0
"LT030","2020-03-23","confirmed",0
"LT030","2020-03-24","confirmed",0
"LT030","2020-03-25","confirmed",0
"LT030","2020-03-26","confirmed",0
"LT030","2020-03-27","confirmed",0
"LT030","2020-03-28","confirmed",0
"LT030","2020-03-29","confirmed",0
"LT030","2020-03-30","confirmed",0
"LT030","2020-03-31","confirmed",0
"LT030","2020-04-01","confirmed",0
"LT030","2020-04-02","confirmed",0
"LT030","2020-04-03","confirmed",0
"LT030","2020-04-04","confirmed",0
"LT030","2020-04-05","confirmed",0
"LT030","2020-04-06","confirmed",1
"LT030","2020-04-07","confirmed",0
"LT030","2020-04-08","confirmed",0
"LT031","2020-02-24","confirmed",0
"LT031","2020-02-25","confirmed",0
"LT031","2020-02-26","confirmed",0
"LT031","2020-02-27","confirmed",0
"LT031","2020-02-28","confirmed",0
"LT031","2020-02-29","confirmed",0
"LT031","2020-03-01","confirmed",0
"LT031","2020-03-02","confirmed",0
"LT031","2020-03-03","confirmed",0
"LT031","2020-03-04","confirmed",0
"LT031","2020-03-05","confirmed",0
"LT031","2020-03-06","confirmed",0
"LT031","2020-03-07","confirmed",0
"LT031","2020-03-08","confirmed",0
"LT031","2020-03-09","confirmed",0
"LT031","2020-03-10","confirmed",0
"LT031","2020-03-11","confirmed",0
"LT031","2020-03-12","confirmed",0
"LT031","2020-03-13","confirmed",0
"LT031","2020-03-14","confirmed",0
"LT031","2020-03-15","confirmed",0
"LT031","2020-03-16","confirmed",0
"LT031","2020-03-17","confirmed",0
"LT031","2020-03-18","confirmed",0
"LT031","2020-03-19","confirmed",0
"LT031","2020-03-20","confirmed",0
"LT031","2020-03-21","confirmed",0
"LT031","2020-03-22","confirmed",0
"LT031","2020-03-23","confirmed",0
"LT031","2020-03-24","confirmed",0
"LT031","2020-03-25","confirmed",0
"LT031","2020-03-26","confirmed",0
"LT031","2020-03-27","confirmed",0
"LT031","2020-03-28","confirmed",0
"LT031","2020-03-29","confirmed",0
"LT031","2020-03-30","confirmed",0
"LT031","2020-03-31","confirmed",0
"LT031","2020-04-01","confirmed",0
"LT031","2020-04-02","confirmed",0
"LT031","2020-04-03","confirmed",0
"LT031","2020-04-04","confirmed",0
"LT031","2020-04-05","confirmed",0
"LT031","2020-04-06","confirmed",1
"LT031","2020-04-07","confirmed",0
"LT031","2020-04-08","confirmed",0
"LT032","2020-02-24","confirmed",0
"LT032","2020-02-25","confirmed",0
"LT032","2020-02-26","confirmed",0
"LT032","2020-02-27","confirmed",0
"LT032","2020-02-28","confirmed",0
"LT032","2020-02-29","confirmed",0
"LT032","2020-03-01","confirmed",0
"LT032","2020-03-02","confirmed",0
"LT032","2020-03-03","confirmed",0
"LT032","2020-03-04","confirmed",0
"LT032","2020-03-05","confirmed",0
"LT032","2020-03-06","confirmed",0
"LT032","2020-03-07","confirmed",0
"LT032","2020-03-08","confirmed",0
"LT032","2020-03-09","confirmed",0
"LT032","2020-03-10","confirmed",0
"LT032","2020-03-11","confirmed",0
"LT032","2020-03-12","confirmed",0
"LT032","2020-03-13","confirmed",0
"LT032","2020-03-14","confirmed",0
"LT032","2020-03-15","confirmed",0
"LT032","2020-03-16","confirmed",0
"LT032","2020-03-17","confirmed",0
"LT032","2020-03-18","confirmed",0
"LT032","2020-03-19","confirmed",0
"LT032","2020-03-20","confirmed",0
"LT032","2020-03-21","confirmed",0
"LT032","2020-03-22","confirmed",0
"LT032","2020-03-23","confirmed",0
"LT032","2020-03-24","confirmed",0
"LT032","2020-03-25","confirmed",0
"LT032","2020-03-26","confirmed",0
"LT032","2020-03-27","confirmed",0
"LT032","2020-03-28","confirmed",0
"LT032","2020-03-29","confirmed",0
"LT032","2020-03-30","confirmed",0
"LT032","2020-03-31","confirmed",0
"LT032","2020-04-01","confirmed",0
"LT032","2020-04-02","confirmed",0
"LT032","2020-04-03","confirmed",0
"LT032","2020-04-04","confirmed",0
"LT032","2020-04-05","confirmed",0
"LT032","2020-04-06","confirmed",1
"LT032","2020-04-07","confirmed",0
"LT032","2020-04-08","confirmed",0
"LT033","2020-02-24","confirmed",0
"LT033","2020-02-25","confirmed",0
"LT033","2020-02-26","confirmed",0
"LT033","2020-02-27","confirmed",0
"LT033","2020-02-28","confirmed",0
"LT033","2020-02-29","confirmed",0
"LT033","2020-03-01","confirmed",0
"LT033","2020-03-02","confirmed",0
"LT033","2020-03-03","confirmed",0
"LT033","2020-03-04","confirmed",0
"LT033","2020-03-05","confirmed",0
"LT033","2020-03-06","confirmed",0
"LT033","2020-03-07","confirmed",0
"LT033","2020-03-08","confirmed",0
"LT033","2020-03-09","confirmed",0
"LT033","2020-03-10","confirmed",0
"LT033","2020-03-11","confirmed",0
"LT033","2020-03-12","confirmed",0
"LT033","2020-03-13","confirmed",0
"LT033","2020-03-14","confirmed",0
"LT033","2020-03-15","confirmed",0
"LT033","2020-03-16","confirmed",0
"LT033","2020-03-17","confirmed",0
"LT033","2020-03-18","confirmed",0
"LT033","2020-03-19","confirmed",0
"LT033","2020-03-20","confirmed",0
"LT033","2020-03-21","confirmed",0
"LT033","2020-03-22","confirmed",0
"LT033","2020-03-23","confirmed",0
"LT033","2020-03-24","confirmed",0
"LT033","2020-03-25","confirmed",0
"LT033","2020-03-26","confirmed",0
"LT033","2020-03-27","confirmed",0
"LT033","2020-03-28","confirmed",0
"LT033","2020-03-29","confirmed",0
"LT033","2020-03-30","confirmed",0
"LT033","2020-03-31","confirmed",0
"LT033","2020-04-01","confirmed",0
"LT033","2020-04-02","confirmed",0
"LT033","2020-04-03","confirmed",0
"LT033","2020-04-04","confirmed",0
"LT033","2020-04-05","confirmed",0
"LT033","2020-04-06","confirmed",1
"LT033","2020-04-07","confirmed",0
"LT033","2020-04-08","confirmed",0
"LT034","2020-02-24","confirmed",0
"LT034","2020-02-25","confirmed",0
"LT034","2020-02-26","confirmed",0
"LT034","2020-02-27","confirmed",0
"LT034","2020-02-28","confirmed",0
"LT034","2020-02-29","confirmed",0
"LT034","2020-03-01","confirmed",0
"LT034","2020-03-02","confirmed",0
"LT034","2020-03-03","confirmed",0
"LT034","2020-03-04","confirmed",0
"LT034","2020-03-05","confirmed",0
"LT034","2020-03-06","confirmed",0
"LT034","2020-03-07","confirmed",0
"LT034","2020-03-08","confirmed",0
"LT034","2020-03-09","confirmed",0
"LT034","2020-03-10","confirmed",0
"LT034","2020-03-11","confirmed",0
"LT034","2020-03-12","confirmed",0
"LT034","2020-03-13","confirmed",0
"LT034","2020-03-14","confirmed",0
"LT034","2020-03-15","confirmed",0
"LT034","2020-03-16","confirmed",0
"LT034","2020-03-17","confirmed",0
"LT034","2020-03-18","confirmed",0
"LT034","2020-03-19","confirmed",0
"LT034","2020-03-20","confirmed",0
"LT034","2020-03-21","confirmed",0
"LT034","2020-03-22","confirmed",0
"LT034","2020-03-23","confirmed",0
"LT034","2020-03-24","confirmed",0
"LT034","2020-03-25","confirmed",0
"LT034","2020-03-26","confirmed",0
"LT034","2020-03-27","confirmed",0
"LT034","2020-03-28","confirmed",0
"LT034","2020-03-29","confirmed",0
"LT034","2020-03-30","confirmed",0
"LT034","2020-03-31","confirmed",0
"LT034","2020-04-01","confirmed",0
"LT034","2020-04-02","confirmed",0
"LT034","2020-04-03","confirmed",0
"LT034","2020-04-04","confirmed",0
"LT034","2020-04-05","confirmed",0
"LT034","2020-04-06","confirmed",1
"LT034","2020-04-07","confirmed",0
"LT034","2020-04-08","confirmed",0
"LT035","2020-02-24","confirmed",0
"LT035","2020-02-25","confirmed",0
"LT035","2020-02-26","confirmed",0
"LT035","2020-02-27","confirmed",0
"LT035","2020-02-28","confirmed",0
"LT035","2020-02-29","confirmed",0
"LT035","2020-03-01","confirmed",0
"LT035","2020-03-02","confirmed",0
"LT035","2020-03-03","confirmed",0
"LT035","2020-03-04","confirmed",0
"LT035","2020-03-05","confirmed",0
"LT035","2020-03-06","confirmed",0
"LT035","2020-03-07","confirmed",0
"LT035","2020-03-08","confirmed",0
"LT035","2020-03-09","confirmed",0
"LT035","2020-03-10","confirmed",0
"LT035","2020-03-11","confirmed",0
"LT035","2020-03-12","confirmed",0
"LT035","2020-03-13","confirmed",0
"LT035","2020-03-14","confirmed",0
"LT035","2020-03-15","confirmed",0
"LT035","2020-03-16","confirmed",0
"LT035","2020-03-17","confirmed",0
"LT035","2020-03-18","confirmed",0
"LT035","2020-03-19","confirmed",0
"LT035","2020-03-20","confirmed",0
"LT035","2020-03-21","confirmed",0
"LT035","2020-03-22","confirmed",0
"LT035","2020-03-23","confirmed",0
"LT035","2020-03-24","confirmed",0
"LT035","2020-03-25","confirmed",0
"LT035","2020-03-26","confirmed",0
"LT035","2020-03-27","confirmed",0
"LT035","2020-03-28","confirmed",0
"LT035","2020-03-29","confirmed",0
"LT035","2020-03-30","confirmed",0
"LT035","2020-03-31","confirmed",0
"LT035","2020-04-01","confirmed",0
"LT035","2020-04-02","confirmed",0
"LT035","2020-04-03","confirmed",0
"LT035","2020-04-04","confirmed",0
"LT035","2020-04-05","confirmed",0
"LT035","2020-04-06","confirmed",1
"LT035","2020-04-07","confirmed",0
"LT035","2020-04-08","confirmed",0
"LT036","2020-02-24","confirmed",0
"LT036","2020-02-25","confirmed",0
"LT036","2020-02-26","confirmed",0
"LT036","2020-02-27","confirmed",0
"LT036","2020-02-28","confirmed",0
"LT036","2020-02-29","confirmed",0
"LT036","2020-03-01","confirmed",0
"LT036","2020-03-02","confirmed",0
"LT036","2020-03-03","confirmed",0
"LT036","2020-03-04","confirmed",0
"LT036","2020-03-05","confirmed",0
"LT036","2020-03-06","confirmed",0
"LT036","2020-03-07","confirmed",0
"LT036","2020-03-08","confirmed",0
"LT036","2020-03-09","confirmed",0
"LT036","2020-03-10","confirmed",0
"LT036","2020-03-11","confirmed",0
"LT036","2020-03-12","confirmed",0
"LT036","2020-03-13","confirmed",0
"LT036","2020-03-14","confirmed",0
"LT036","2020-03-15","confirmed",0
"LT036","2020-03-16","confirmed",0
"LT036","2020-03-17","confirmed",0
"LT036","2020-03-18","confirmed",0
"LT036","2020-03-19","confirmed",0
"LT036","2020-03-20","confirmed",0
"LT036","2020-03-21","confirmed",0
"LT036","2020-03-22","confirmed",0
"LT036","2020-03-23","confirmed",0
"LT036","2020-03-24","confirmed",0
"LT036","2020-03-25","confirmed",0
"LT036","2020-03-26","confirmed",0
"LT036","2020-03-27","confirmed",0
"LT036","2020-03-28","confirmed",0
"LT036","2020-03-29","confirmed",0
"LT036","2020-03-30","confirmed",0
"LT036","2020-03-31","confirmed",0
"LT036","2020-04-01","confirmed",0
"LT036","2020-04-02","confirmed",0
"LT036","2020-04-03","confirmed",0
"LT036","2020-04-04","confirmed",0
"LT036","2020-04-05","confirmed",0
"LT036","2020-04-06","confirmed",1
"LT036","2020-04-07","confirmed",0
"LT036","2020-04-08","confirmed",0
"LT037","2020-02-24","confirmed",0
"LT037","2020-02-25","confirmed",0
"LT037","2020-02-26","confirmed",0
"LT037","2020-02-27","confirmed",0
"LT037","2020-02-28","confirmed",0
"LT037","2020-02-29","confirmed",0
"LT037","2020-03-01","confirmed",0
"LT037","2020-03-02","confirmed",0
"LT037","2020-03-03","confirmed",0
"LT037","2020-03-04","confirmed",0
"LT037","2020-03-05","confirmed",0
"LT037","2020-03-06","confirmed",0
"LT037","2020-03-07","confirmed",0
"LT037","2020-03-08","confirmed",0
"LT037","2020-03-09","confirmed",0
"LT037","2020-03-10","confirmed",0
"LT037","2020-03-11","confirmed",0
"LT037","2020-03-12","confirmed",0
"LT037","2020-03-13","confirmed",0
"LT037","2020-03-14","confirmed",0
"LT037","2020-03-15","confirmed",0
"LT037","2020-03-16","confirmed",0
"LT037","2020-03-17","confirmed",0
"LT037","2020-03-18","confirmed",0
"LT037","2020-03-19","confirmed",0
"LT037","2020-03-20","confirmed",0
"LT037","2020-03-21","confirmed",0
"LT037","2020-03-22","confirmed",0
"LT037","2020-03-23","confirmed",0
"LT037","2020-03-24","confirmed",0
"LT037","2020-03-25","confirmed",0
"LT037","2020-03-26","confirmed",0
"LT037","2020-03-27","confirmed",0
"LT037","2020-03-28","confirmed",0
"LT037","2020-03-29","confirmed",0
"LT037","2020-03-30","confirmed",0
"LT037","2020-03-31","confirmed",0
"LT037","2020-04-01","confirmed",0
"LT037","2020-04-02","confirmed",0
"LT037","2020-04-03","confirmed",0
"LT037","2020-04-04","confirmed",0
"LT037","2020-04-05","confirmed",0
"LT037","2020-04-06","confirmed",1
"LT037","2020-04-07","confirmed",0
"LT037","2020-04-08","confirmed",0
"LT038","2020-02-24","confirmed",0
"LT038","2020-02-25","confirmed",0
"LT038","2020-02-26","confirmed",0
"LT038","2020-02-27","confirmed",0
"LT038","2020-02-28","confirmed",0
"LT038","2020-02-29","confirmed",0
"LT038","2020-03-01","confirmed",0
"LT038","2020-03-02","confirmed",0
"LT038","2020-03-03","confirmed",0
"LT038","2020-03-04","confirmed",0
"LT038","2020-03-05","confirmed",0
"LT038","2020-03-06","confirmed",0
"LT038","2020-03-07","confirmed",0
"LT038","2020-03-08","confirmed",0
"LT038","2020-03-09","confirmed",0
"LT038","2020-03-10","confirmed",0
"LT038","2020-03-11","confirmed",0
"LT038","2020-03-12","confirmed",0
"LT038","2020-03-13","confirmed",0
"LT038","2020-03-14","confirmed",0
"LT038","2020-03-15","confirmed",0
"LT038","2020-03-16","confirmed",0
"LT038","2020-03-17","confirmed",0
"LT038","2020-03-18","confirmed",0
"LT038","2020-03-19","confirmed",0
"LT038","2020-03-20","confirmed",0
"LT038","2020-03-21","confirmed",0
"LT038","2020-03-22","confirmed",0
"LT038","2020-03-23","confirmed",0
"LT038","2020-03-24","confirmed",0
"LT038","2020-03-25","confirmed",0
"LT038","2020-03-26","confirmed",0
"LT038","2020-03-27","confirmed",0
"LT038","2020-03-28","confirmed",0
"LT038","2020-03-29","confirmed",0
"LT038","2020-03-30","confirmed",0
"LT038","2020-03-31","confirmed",0
"LT038","2020-04-01","confirmed",0
"LT038","2020-04-02","confirmed",0
"LT038","2020-04-03","confirmed",0
"LT038","2020-04-04","confirmed",0
"LT038","2020-04-05","confirmed",0
"LT038","2020-04-06","confirmed",1
"LT038","2020-04-07","confirmed",0
"LT038","2020-04-08","confirmed",0
"LT039","2020-02-24","confirmed",0
"LT039","2020-02-25","confirmed",0
"LT039","2020-02-26","confirmed",0
"LT039","2020-02-27","confirmed",0
"LT039","2020-02-28","confirmed",0
"LT039","2020-02-29","confirmed",0
"LT039","2020-03-01","confirmed",0
"LT039","2020-03-02","confirmed",0
"LT039","2020-03-03","confirmed",0
"LT039","2020-03-04","confirmed",0
"LT039","2020-03-05","confirmed",0
"LT039","2020-03-06","confirmed",0
"LT039","2020-03-07","confirmed",0
"LT039","2020-03-08","confirmed",0
"LT039","2020-03-09","confirmed",0
"LT039","2020-03-10","confirmed",0
"LT039","2020-03-11","confirmed",0
"LT039","2020-03-12","confirmed",0
"LT039","2020-03-13","confirmed",0
"LT039","2020-03-14","confirmed",0
"LT039","2020-03-15","confirmed",0
"LT039","2020-03-16","confirmed",0
"LT039","2020-03-17","confirmed",0
"LT039","2020-03-18","confirmed",0
"LT039","2020-03-19","confirmed",0
